"Combustivel,Coqueificacao,Sinterizacao,Alto-forno,Aciaria,Laminacao,total"
"Carvao mineral,15.009,0.449,0,0,0,15.458"
"Carvao vegetal,0,0,0,0,0,0"
"Finos de carvao,0,0,3.839,0,0,3.839"
"Coque metalurgico,0,1.226,11.116,0.001,0,12.343"
"Coque de petroleo,1.131,0,0,0,0,1.131"
"Gas de coqueria,0.339,0.039,0.419,0.025,0.482,1.304"
"Gas de alto-forno,0.547,0,1.504,0,0.046,2.097"
"Gas de aciaria,0.017,0.008,0.122,0.008,0.068,0.223"
"Gas Natural,0.004,0.045,0.142,0.093,0.49,0.774"
"Alcatrao,0,0,0,0,0,0"
"Oleo combustivel,0,0,0,0,0.001,0.001"
"Oleo diesel,0,0,0,0,0,0"
"GLP,0,0,0,0,0,0"
"Gasolina,0,0,0,0,0,0"
"Energia eletrica,0.204,0.552,0.488,0.466,1.11,2.82"
"Gases do ar,0.026,0.001,0.555,0.549,0.092,1.223"
"Outras fontes,0,0,0.175,0,0,0.175"
"Consumo total,17.277,2.32,18.36,1.142,2.289,41.388"
